trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9}",25,0,-192.92949398530973,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.81}",20,5,-0.8198161409863185,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.7290000000000001}",20,0,-26.80407574076504,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.6561000000000001}",20,0,-131.49597047353598,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.5904900000000002}",25,7,-123.13581079676936,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.7, 'e': 0.5314410000000002}",30,0,-54.22068028333387,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.47829690000000014}",20,14,10.431428922376693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.43046721000000016}",20,2,-54.70809336979448,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.38742048900000015}",30,14,6.936318673651132,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.34867844010000015}",20,14,-8.795536543461612,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.31381059609000017}",25,15,-6.56786862299531,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.28242953648100017}",25,3,-30.81035764901573,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.25418658283290013}",30,8,-4.935422238669524,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.22876792454961012}",25,0,-65.41650560616435,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.2058911320946491}",30,13,-48.70080792644541,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.7, 'e': 0.1853020188851842}",25,2,15.659471218136169,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.16677181699666577}",20,0,-3.3567217406839993,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.1500946352969992}",20,3,31.7016208407562,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.13508517176729928}",20,14,11.932678552660576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.12157665459056936}",30,8,25.13561122218243,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.10941898913151243}",20,14,10.72483513135913,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.0984770902183612}",25,8,21.740060873248545,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.08862938119652508}",20,15,1.181482007711169,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.07976644307687257}",25,0,-22.758971912726274,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.07178979876918531}",25,0,-12.815706143437513,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.06461081889226679}",30,19,-65.78697690942059,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
27,False,"{'a': 0.7, 'e': 0.05814973700304011}",30,6,11.766083786946474,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0523347633027361}",20,0,-54.36663187273068,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.04710128697246249}",30,19,-22.89318376378906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.7, 'e': 0.042391158275216244}",20,11,18.914753749919225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.03815204244769462}",20,0,27.007899584627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.03433683820292516}",25,11,-22.415772367891552,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.030903154382632643}",20,8,20.668539180781735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.02781283894436938}",20,14,12.265068545786471,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.025031555049932444}",30,16,21.884429982866187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0225283995449392}",35,0,8.462730460968915,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.7, 'e': 0.020275559590445278}",20,4,20.891250872920867,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.01824800363140075}",20,0,21.528071545337266,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.016423203268260675}",20,16,9.573146332695023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.014780882941434608}",20,0,9.844250904757379,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.013302794647291147}",25,8,9.408123154584583,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.011972515182562033}",35,21,25.960625322765733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.01077526366430583}",20,11,16.712723629333762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.009697737297875247}",35,0,14.503048404205293,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.008727963568087723}",20,2,-11.88687986753175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.7, 'e': 0.00785516721127895}",30,19,21.23995617224712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.007069650490151055}",20,6,-13.62711806268699,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.7, 'e': 0.00636268544113595}",20,10,21.30915948957662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.005726416897022355}",25,17,15.731371845525233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.00515377520732012}",20,0,28.84982774694702,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.004638397686588107}",25,12,24.65413059655486,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.0041745579179292966}",25,13,18.072005819533175,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.003757102126136367}",30,3,44.66874363156771,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.00338139191352273}",25,16,18.37211019721795,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.0030432527221704573}",25,11,27.179890391720576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.0027389274499534117}",25,18,12.790263804151166,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.0024650347049580707}",30,20,17.256538864279246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.0022185312344622636}",20,12,14.455532759040613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.001996678111016037}",25,14,19.95081078316832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0017970102999144335}",25,7,34.30181979921156,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0016173092699229901}",25,15,19.198806848353453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.0014555783429306911}",30,9,38.87169419427798,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.001310020508637622}",25,2,38.01281504136962,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.0011790184577738598}",20,14,13.44057446216442,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.0010611166119964739}",25,16,-32.672664258905506,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.7, 'e': 0.0009550049507968265}",25,18,15.169821628378319,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.0008595044557171439}",25,20,7.866863425317529,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.0007735540101454295}",25,20,10.443318708144133,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.0006961986091308866}",20,14,11.114753066375828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,7.497568030807609,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,18,12.426019921810429,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,21.343563362337452,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,29.79481728153054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,20.74950932307476,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,23,21.21488748648498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,23.941436709194246,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,17,23.97777749324286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,25.68791164233652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,22,17.63240592924602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
